Geneid,KDS-HBEC-HC1,KDS-HBEC-HC2,KDS-HBEC-NA4,KDS-HBEC-HC3,KDS-HBEC-HC4,KDS-HBEC-NB4,KDS-HBEC-JC1,KDS-HBEC-JC2,KDS-HBEC-VA4,KDS-HBEC-JC3,KDS-HBEC-JC4,KDS-HBEC-VB4,KDS-HBEC-KC1,KDS-HBEC-KC2,KDS-HBEC-SA4,KDS-HBEC-KC3,KDS-HBEC-KC4,KDS-HBEC-SB4
ENSG00000000003,2772,3315,5887,2209,2771,3701,1375,2954,1969,2663,2073,3075,3708,4937,4036,3019,2614,2197
ENSG00000000005,0,4,1,3,0,0,0,0,0,0,0,3,3,1,0,0,0,0
ENSG00000000419,515,819,1570,704,842,1479,410,1002,577,1304,933,1404,804,1030,874,1039,634,801
ENSG00000000457,99,303,528,200,375,402,259,590,364,619,444,558,434,501,461,360,337,201
ENSG00000000460,9,43,106,15,75,74,20,86,51,51,58,54,104,107,52,36,49,29
ENSG00000000938,26,23,19,32,26,16,2,2,8,65,32,14,47,20,36,19,32,25
ENSG00000000971,739,998,2589,501,1175,1141,715,1606,1031,1406,1080,1014,2180,2670,1587,1143,1430,470
ENSG00000001036,494,1195,1426,907,1662,1231,732,1677,926,1655,1496,1612,1082,1632,1159,1112,1107,623
ENSG00000001084,1510,2346,8315,3157,6565,8354,6659,14168,6414,22967,16812,15933,5694,5976,5753,4012,3611,2884
ENSG00000001167,72,221,632,124,498,491,290,659,320,529,573,687,640,648,490,225,376,134
ENSG00000001460,759,1110,2192,956,1394,1605,877,1747,1387,1954,1454,2876,1691,1863,2060,1063,936,1400
ENSG00000001461,1714,967,1863,1041,2247,1982,1057,2072,1416,2832,2590,3740,2069,2020,1609,1431,1537,1038
ENSG00000001497,627,1076,1287,682,1540,822,705,1583,659,1237,1130,1134,1837,1647,1241,1039,963,795
ENSG00000001561,108,329,2098,190,439,1833,209,660,518,600,570,1261,482,940,804,443,510,472
ENSG00000001617,3018,3124,3623,2963,6689,2492,3527,6642,5119,7358,6471,8850,6946,4841,4608,4040,3247,3020
ENSG00000001626,355,331,1431,358,812,2687,295,691,513,865,935,1376,615,804,789,572,797,918
ENSG00000001629,267,301,1247,230,992,1438,503,1004,690,1046,1065,1487,981,1140,682,471,697,271
ENSG00000001630,111,178,522,124,1524,905,340,738,247,898,849,1249,378,391,301,224,528,208
ENSG00000001631,441,277,998,206,616,811,311,674,405,625,644,751,738,865,573,290,423,196
ENSG00000002016,12,51,141,48,171,80,88,186,69,143,154,140,123,145,93,89,76,36
ENSG00000002079,1,4,14,6,14,10,10,20,23,4,18,38,8,19,14,2,11,26
ENSG00000002330,7382,4238,2214,4913,5286,2008,2996,5690,2872,7830,4799,5848,3552,3040,3075,4021,2186,4540
ENSG00000002549,999,2713,3660,1576,3140,2659,1920,3865,2674,3449,2903,4640,3727,4424,3701,2317,2580,1784
ENSG00000002586,3498,3231,3597,3781,3930,2843,1928,3858,2366,5965,3877,6661,3778,3419,3208,4843,2586,4531
ENSG00000002587,746,1725,2317,3115,6227,7151,1281,2442,1527,5613,4723,14429,2427,1854,2186,4067,2983,6808
ENSG00000002726,0,0,10,0,4,1,10,0,14,26,6,4,21,6,3,9,3,7
ENSG00000002745,5,39,170,16,63,122,22,38,38,37,33,130,62,57,142,20,38,54
ENSG00000002746,0,4,0,0,6,0,6,5,4,0,2,8,2,4,0,0,6,0
ENSG00000002822,902,984,648,761,1587,503,686,1286,666,1612,1513,1393,1255,1133,885,993,639,753
ENSG00000002834,1715,5369,7718,5132,14893,11323,5202,10536,6293,14011,11948,20018,9887,9667,8000,7175,8263,7487
ENSG00000002919,293,586,498,551,793,593,422,855,451,1094,915,1303,643,604,548,549,401,567
ENSG00000002933,0,13,49,19,25,71,14,14,43,24,9,96,35,32,106,16,4,16
ENSG00000003056,191,1143,2038,661,2584,1564,1134,2380,1046,2550,2457,2492,1962,2103,1552,994,1488,577
ENSG00000003096,55,426,1244,175,586,886,219,649,301,478,476,576,572,798,710,320,350,315
ENSG00000003137,1,0,0,0,1,0,2,0,0,0,1,0,9,5,6,0,5,1
ENSG00000003147,335,282,680,473,503,796,351,462,466,890,524,1228,545,473,522,601,366,720
ENSG00000003249,201,361,263,198,535,129,242,753,435,805,741,1015,416,523,244,246,328,208
ENSG00000003393,159,405,1060,235,807,1008,420,1187,607,953,1031,1460,854,1150,803,425,588,338
ENSG00000003400,156,348,492,139,530,246,209,805,520,554,710,833,314,619,383,196,315,250
ENSG00000003402,2346,2001,6161,1595,4109,4548,2186,5475,3938,5171,5245,6774,4029,5309,4713,2339,2860,2146
ENSG00000003436,201,123,338,127,133,236,70,143,136,233,154,204,240,325,212,241,190,160
ENSG00000003509,84,74,248,93,139,143,85,142,105,258,152,239,209,271,161,172,114,131
ENSG00000003756,749,1302,1983,1022,1743,1308,867,1812,932,1760,1547,2077,1997,2044,1726,1408,1230,1008
ENSG00000003987,1,16,65,7,41,60,13,38,40,13,24,70,34,24,40,31,21,10
ENSG00000003989,1199,1469,5783,1319,3129,5697,992,2566,1447,2121,2147,3188,2801,3909,3557,1605,2101,1749
ENSG00000004059,8146,5947,3653,6602,7399,3142,3541,6637,3280,8922,6469,7263,5516,4917,4081,6665,3542,5869
ENSG00000004139,74,148,238,81,307,180,141,232,175,326,309,226,289,233,271,111,152,61
ENSG00000004142,1838,2476,2724,2505,4525,2423,2210,4074,2250,5678,4387,4778,3967,3458,2791,3168,2458,2565
ENSG00000004399,31,90,70,23,91,45,35,133,113,86,98,159,140,167,92,29,62,39
ENSG00000004455,2282,2478,2916,2746,4025,2904,1889,3698,1654,4791,3349,4410,3110,3216,2521,2846,2117,2355
ENSG00000004468,162,197,1057,49,174,358,166,304,326,152,169,312,327,589,824,122,143,123
ENSG00000004478,2815,2894,4068,2914,4692,3571,2850,5527,3828,7822,6163,11649,4467,4465,3926,4250,2858,4393
ENSG00000004487,1598,2336,3436,1142,2594,1965,1639,3462,2007,2965,2622,3289,3850,4076,2920,1859,1906,1576
ENSG00000004534,498,661,1518,570,1341,1221,777,1573,902,1947,1796,2308,1627,1859,1206,1044,1080,807
ENSG00000004660,107,173,246,247,286,154,127,295,278,470,377,505,204,177,186,195,173,201
ENSG00000004700,37,160,518,92,326,479,140,371,165,337,321,557,403,581,345,196,345,106
ENSG00000004766,115,171,584,161,226,480,111,278,193,261,274,378,316,442,327,226,212,150
ENSG00000004776,1,6,13,0,5,2,0,29,5,0,11,1,11,4,0,13,0,0
ENSG00000004777,206,109,186,72,305,66,64,172,96,139,200,246,410,276,195,84,83,50
ENSG00000004779,2207,1871,1570,2038,1841,1392,996,2144,999,2649,1771,2211,1664,1662,1523,1777,1065,1895
ENSG00000004799,170,159,702,109,248,455,140,428,238,251,239,445,536,557,450,172,199,139
ENSG00000004809,470,774,1086,528,1050,962,420,827,240,778,513,616,607,1033,799,721,648,725
ENSG00000004838,25328,26553,16806,17802,26781,11569,14960,30598,14639,27132,20702,22117,29469,24821,23198,16291,12671,19492
ENSG00000004846,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
ENSG00000004848,37,47,180,52,111,127,40,60,18,111,71,145,68,75,104,72,84,112
ENSG00000004864,120,302,593,162,419,618,262,544,333,664,443,473,553,671,429,391,415,197
ENSG00000004866,257,404,507,308,387,436,240,507,309,571,436,479,529,542,460,377,312,250
ENSG00000004897,288,324,1055,208,465,962,247,624,367,528,599,767,640,892,584,347,470,272
ENSG00000004939,25,0,0,0,0,0,0,1,0,6,0,0,0,0,3,0,0,0
ENSG00000004948,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000004961,439,587,869,542,901,792,484,1145,572,1051,1093,1186,896,984,735,616,679,528
ENSG00000004975,470,1622,1725,1166,2988,1387,1674,3207,1760,3504,3184,3088,2494,2200,2118,1600,1590,1090
ENSG00000005001,1832,2312,1290,2375,4187,1149,1160,2355,1120,3435,3965,3473,1736,1753,1031,2254,1729,2022
ENSG00000005007,4962,7314,9211,6654,17745,9447,6662,12517,7644,17662,14922,18522,13123,11588,9891,8351,8803,6970
ENSG00000005020,314,356,838,212,427,682,106,492,212,317,457,489,316,828,482,315,469,277
ENSG00000005022,5644,9022,8984,9971,14087,9091,8055,14400,7720,20053,14332,18264,12766,11638,9345,12382,8560,9063
ENSG00000005059,72,280,246,496,754,849,130,390,173,943,1008,1721,277,415,164,490,407,673
ENSG00000005073,0,2,1,0,1,3,0,3,0,0,2,0,2,0,0,0,2,0
ENSG00000005075,2893,1911,1200,2141,2652,1175,1219,2327,1239,3361,2386,2720,1767,1627,1721,2040,1305,1953
ENSG00000005100,485,183,471,153,449,384,178,422,253,618,419,386,572,468,382,202,214,202
ENSG00000005102,3,4,4,0,4,7,0,1,2,1,4,3,6,1,1,5,6,4
ENSG00000005108,0,17,37,2,4,10,0,5,0,0,0,1,1,15,6,2,1,4
ENSG00000005156,340,632,528,330,888,449,410,1133,426,881,812,829,930,995,652,467,580,275
ENSG00000005175,306,278,1165,226,394,909,262,660,455,592,514,912,555,874,591,331,406,326
ENSG00000005187,17,37,97,19,19,47,19,34,17,24,17,56,65,59,76,57,28,23
ENSG00000005189,350,298,359,139,249,229,112,299,169,299,145,418,458,484,299,179,189,162
ENSG00000005194,553,848,888,744,930,773,575,1127,644,1548,1095,1387,1006,1050,752,877,636,751
ENSG00000005206,2476,2875,2428,2084,5013,1427,2240,4469,2203,4499,4300,3679,4232,3490,2586,2557,2054,2163
ENSG00000005238,315,407,427,240,723,357,287,623,468,715,654,915,480,476,387,401,334,418
ENSG00000005243,187,108,154,281,363,268,145,196,149,371,326,605,149,173,142,328,187,262
ENSG00000005249,63,144,240,61,149,72,76,133,108,81,116,70,258,275,127,112,85,7
ENSG00000005302,603,531,1043,426,767,692,319,1041,533,876,739,993,765,1015,747,562,507,352
ENSG00000005339,539,755,1651,374,2690,1302,944,2414,1262,2295,2434,2145,2103,2201,1392,618,1351,312
ENSG00000005379,376,1329,1800,786,2754,1363,1150,2982,1532,2099,2460,2354,2225,2063,2001,870,1249,778
ENSG00000005381,2,5,2,0,0,6,0,1,0,0,0,2,3,8,0,0,0,0
ENSG00000005421,8,0,18,0,11,11,0,2,1,0,6,2,4,3,4,13,13,0
ENSG00000005436,176,154,566,113,280,361,174,317,186,335,237,317,295,378,275,243,201,138
ENSG00000005448,6145,6789,6316,4514,7941,3400,4338,8767,4586,7334,6203,7881,7710,7320,8098,4679,3776,6248
ENSG00000005469,259,378,963,428,699,1079,455,904,671,1081,991,1209,830,910,658,552,625,512
ENSG00000005471,3,0,11,0,3,10,0,1,1,5,8,3,1,4,16,5,0,1
ENSG00000005483,1707,477,1596,430,1194,1492,503,1187,673,1166,1283,1701,1327,1432,1052,805,942,829
ENSG00000005486,3230,4485,4690,4234,9144,4211,3905,7215,4621,9827,8694,14052,5488,5740,5472,5599,4687,7381
ENSG00000005513,0,1,1,0,42,9,5,18,5,9,22,16,5,2,6,7,8,8
ENSG00000005700,210,234,1464,207,589,1532,180,606,392,591,664,897,613,971,596,368,658,381
ENSG00000005801,148,148,327,142,240,222,98,263,133,267,242,282,210,248,192,185,180,103
ENSG00000005810,524,238,1001,160,631,843,257,928,607,784,779,821,807,1025,798,401,423,247
ENSG00000005812,160,380,1647,252,992,1215,570,1087,465,914,964,1049,849,1204,761,447,599,261
ENSG00000005844,113,78,150,42,118,35,140,232,200,160,127,141,169,180,198,49,76,45
ENSG00000005882,305,642,900,642,1530,686,648,1013,656,1310,1223,1213,1407,1087,972,986,709,534
